"name";"id";"systemid";"executiontime";"executioninmiliseconds"
"bicing";"548";"7";"2020-08-28T03:45:08.348006Z";"8316"
"bicing";"686";"7";"2020-08-28T05:30:06.222883Z";"6204"
"bicing";"688";"7";"2020-08-28T05:35:01.915027Z";"1894"
"bicing";"721";"7";"2020-08-28T06:00:03.246746Z";"3234"
"bicing";"785";"7";"2020-08-28T06:50:02.783693Z";"2771"
"bicing";"646";"7";"2020-08-28T05:00:03.67013Z";"3664"
"bicing";"121";"7";"2020-08-27T22:15:03.750476Z";"3732"
"bicing";"187";"7";"2020-08-27T23:05:01.712057Z";"1705"
"bicing";"291";"7";"2020-08-28T00:25:01.771335Z";"1766"
"bicing";"790";"7";"2020-08-28T06:55:01.693077Z";"1688"
"bicing";"1321";"7";"2020-08-28T13:50:01.827641Z";"1806"
"bicing";"1091";"7";"2020-08-28T10:50:03.014458Z";"2995"
"bicing";"997";"7";"2020-08-28T09:35:02.457275Z";"2443"
"bicing";"286";"7";"2020-08-28T00:20:02.65713Z";"2646"
"bicing";"505";"7";"2020-08-28T03:10:05.304989Z";"5277"
"bicing";"46";"7";"2020-08-27T21:10:03.926455Z";"3911"
"bicing";"797";"7";"2020-08-28T07:00:01.857114Z";"1798"
"bicing";"1276";"7";"2020-08-28T13:15:03.42255Z";"3411"
"bicing";"500";"7";"2020-08-28T03:05:03.376744Z";"3348"
"bicing";"5";"7";"2020-08-27T20:45:04.332248Z";"4145"
"bicing";"282";"7";"2020-08-28T00:15:04.014697Z";"3979"
"bicing";"1397";"7";"2020-08-28T14:45:05.699913Z";"5690"
"bicing";"803";"7";"2020-08-28T07:05:02.266212Z";"2222"
"bicing";"161";"7";"2020-08-27T22:45:01.769612Z";"1747"
"bicing";"201";"7";"2020-08-27T23:15:03.416141Z";"3404"
"bicing";"569";"7";"2020-08-28T04:00:03.935072Z";"3906"
"bicing";"276";"7";"2020-08-28T00:10:04.454619Z";"4436"
"bicing";"154";"7";"2020-08-27T22:40:01.907111Z";"1890"
"bicing";"1004";"7";"2020-08-28T09:40:02.760231Z";"2752"
"bicing";"1182";"7";"2020-08-28T12:00:01.769725Z";"1750"
"bicing";"811";"7";"2020-08-28T07:10:01.959689Z";"1923"
"bicing";"1223";"7";"2020-08-28T12:35:01.787459Z";"1774"
"bicing";"649";"7";"2020-08-28T05:05:03.315829Z";"3294"
"bicing";"1201";"7";"2020-08-28T12:20:01.652453Z";"1644"
"bicing";"1175";"7";"2020-08-28T11:55:01.72815Z";"1723"
"bicing";"405";"7";"2020-08-28T01:50:03.639731Z";"3605"
"bicing";"817";"7";"2020-08-28T07:15:01.699368Z";"1673"
"bicing";"1009";"7";"2020-08-28T09:45:01.629294Z";"1606"
